index,date,number,mean,std
0,2022-04-13,322,2103.41,2462.5
1,2022-04-14,316,2053.38,2675.0
2,2022-04-15,303,2123.52,2700.0
3,2022-04-15,297,1991.67,2675.0
4,2022-04-20,324,1938.17,2600.0
5,2022-04-21,315,1899.29,2650.0
6,2022-04-21,320,1945.05,2650.0
7,2022-04-23,323,1925.31,2650.0
8,2022-04-24,318,1907.06,2700.0
9,2022-04-25,319,1834.93,2700.0
10,2022-04-26,331,1861.12,2680.0
11,2022-04-27,347,1884.71,2775.0
12,2022-05-01,360,1752.28,2590.0
13,2022-05-04,364,1909.15,2700.0
14,2022-05-05,359,1868.22,2700.0
15,2022-05-07,365,1722.35,2500.0
16,2022-05-08,374,1686.95,2500.0
17,2022-05-09,366,1820.79,2622.5
18,2022-05-10,372,1876.21,2700.0
19,2022-05-11,379,1821.37,2730.0
20,2022-05-12,369,1886.2,2795.0
21,2022-05-13,376,1809.57,2730.0
22,2022-05-14,398,1881.49,2700.0
23,2022-05-15,418,1779.99,2720.0
24,2022-05-16,407,1837.13,2737.5
25,2022-05-17,420,1830.73,2730.0
26,2022-05-18,424,1855.6,2720.0
27,2022-05-19,432,1816.94,2750.0
28,2022-05-20,419,1844.1,2750.0
29,2022-05-21,421,1835.51,2750.0
30,2022-05-22,436,1934.43,2700.0
31,2022-05-23,437,1797.76,2730.0
32,2022-05-24,412,1873.77,2750.0
33,2022-05-25,410,1964.64,2942.5
34,2022-05-26,397,1863.22,2720.0
35,2022-05-27,397,1823.17,2730.0
36,2022-05-29,416,1873.05,2820.0
37,2022-05-30,439,1912.13,2800.0
38,2022-05-30,442,1984.36,2900.0
39,2022-05-31,459,1990.97,2900.0
