index,date,number,mean,std
0,2022-04-13,530,1684.96,800.0
1,2022-04-14,516,1703.44,750.0
2,2022-04-15,537,1717.22,900.0
3,2022-04-15,512,1692.57,900.0
4,2022-04-20,506,1649.51,800.0
5,2022-04-21,546,1687.08,820.0
6,2022-04-21,516,1718.71,850.0
7,2022-04-23,505,1746.89,802.5
8,2022-04-24,503,1721.61,800.0
9,2022-04-25,513,1748.13,800.0
10,2022-04-26,531,1745.37,800.0
11,2022-04-27,528,1743.37,800.0
12,2022-05-01,533,1766.32,900.0
13,2022-05-04,545,1770.54,900.0
14,2022-05-05,551,1765.66,800.0
15,2022-05-07,544,1734.61,800.0
16,2022-05-08,575,1769.36,860.0
17,2022-05-09,565,1749.99,800.0
18,2022-05-10,589,1737.6,800.0
19,2022-05-11,615,1748.64,800.0
20,2022-05-12,627,1757.93,800.0
21,2022-05-13,623,1754.57,800.0
22,2022-05-14,629,1759.75,800.0
23,2022-05-15,631,1745.4,800.0
24,2022-05-16,620,1779.82,800.0
25,2022-05-17,656,1784.95,850.0
26,2022-05-18,649,1773.49,800.0
27,2022-05-19,703,1800.41,890.0
28,2022-05-20,693,1818.31,900.0
29,2022-05-21,700,1800.03,900.0
30,2022-05-22,705,1790.94,890.0
31,2022-05-23,731,1788.41,850.0
32,2022-05-24,717,1808.58,820.0
33,2022-05-25,729,1783.18,850.0
34,2022-05-26,713,1753.13,800.0
35,2022-05-27,707,1743.04,800.0
36,2022-05-29,734,1778.4,850.0
37,2022-05-30,740,1749.92,800.0
38,2022-05-30,736,1747.07,800.0
39,2022-05-31,758,1755.32,800.0
40,2022-06-01,764,1759.63,800.0
41,2022-06-02,799,1786.36,800.0
42,2022-06-03,922,1758.98,800.0
