index,date,number,mean,std
0,2022-04-13,623,2099.2,900.0
1,2022-04-14,624,2170.48,1000.0
2,2022-04-15,613,2134.91,850.0
3,2022-04-15,540,2135.04,800.0
4,2022-04-20,540,2125.63,810.0
5,2022-04-21,540,2137.15,750.0
6,2022-04-21,554,2092.16,800.0
7,2022-04-23,546,2153.59,807.5
8,2022-04-24,533,2185.28,800.0
9,2022-04-25,566,2163.91,800.0
10,2022-04-26,602,2182.51,867.5
11,2022-04-27,634,2197.35,900.0
12,2022-05-01,644,2060.92,1000.0
13,2022-05-04,619,2156.85,1000.0
14,2022-05-05,646,2074.38,850.0
15,2022-05-07,659,2028.54,900.0
16,2022-05-08,674,2025.6,900.0
17,2022-05-09,705,2120.86,950.0
18,2022-05-10,709,2132.45,900.0
19,2022-05-11,758,2119.46,862.5
20,2022-05-12,716,2119.49,800.0
21,2022-05-13,753,2119.95,900.0
22,2022-05-14,769,2091.9,850.0
23,2022-05-15,801,2043.88,880.0
24,2022-05-16,772,2107.13,900.0
25,2022-05-17,793,2095.43,810.0
26,2022-05-18,834,2138.37,910.0
27,2022-05-19,844,2068.65,915.0
28,2022-05-20,823,2095.8,900.0
29,2022-05-21,837,2087.45,900.0
30,2022-05-22,829,2073.18,812.5
31,2022-05-23,868,2056.29,850.0
32,2022-05-24,858,2097.44,800.0
33,2022-05-25,880,2117.84,800.0
34,2022-05-26,901,2112.16,800.0
35,2022-05-27,894,2110.82,800.0
36,2022-05-29,888,2093.06,810.0
37,2022-05-30,939,2073.04,820.0
38,2022-05-30,934,2069.34,827.5
39,2022-05-31,945,2074.57,850.0
40,2022-06-01,949,2071.17,815.0
41,2022-06-02,958,2074.45,850.0
44,2022-06-03,1096,2056.31,861.25
