index,date,number,mean,std
0,2022-04-13,1013,2883.55,1300.0
1,2022-04-14,1014,2868.03,1302.5
2,2022-04-15,1030,2844.12,1400.0
3,2022-04-15,974,2852.54,1302.5
4,2022-04-20,973,2727.76,1300.0
5,2022-04-21,987,2745.88,1300.0
6,2022-04-21,994,2774.68,1300.0
7,2022-04-23,988,2794.23,1200.0
8,2022-04-24,995,2802.48,1200.0
9,2022-04-25,1002,2774.65,1250.0
10,2022-04-26,991,2779.35,1200.0
11,2022-04-27,1005,2807.57,1200.0
12,2022-05-01,968,2738.0,1200.0
13,2022-05-04,996,2766.56,1300.0
14,2022-05-05,990,2771.27,1199.25
15,2022-05-07,943,2769.65,1100.0
16,2022-05-08,973,2771.65,1200.0
17,2022-05-09,999,2810.1,1200.0
18,2022-05-10,1000,2826.17,1200.0
19,2022-05-11,997,2784.84,1200.0
20,2022-05-12,1001,2783.04,1250.0
21,2022-05-13,987,2781.13,1200.0
22,2022-05-14,991,2749.51,1200.0
23,2022-05-15,967,2732.17,1200.0
24,2022-05-16,998,2751.16,1299.25
25,2022-05-17,971,2721.32,1100.0
26,2022-05-18,967,2730.52,1100.0
27,2022-05-19,997,2774.86,1150.0
28,2022-05-20,987,2759.49,1199.25
29,2022-05-21,967,2738.36,1100.0
30,2022-05-22,962,2715.9,1200.0
31,2022-05-23,974,2752.32,1200.0
32,2022-05-24,969,2693.32,1100.0
33,2022-05-25,994,2746.85,1200.0
34,2022-05-26,999,2788.97,1200.0
35,2022-05-27,995,2772.33,1200.0
36,2022-05-29,1004,2755.16,1200.0
37,2022-05-30,978,2689.58,1085.0
38,2022-05-30,964,2694.81,1000.0
39,2022-05-31,965,2690.39,1050.0
