index,date,number,mean,std
0,2022-04-13,576,2740.29,1200.0
1,2022-04-14,559,2739.17,1200.0
2,2022-04-15,541,2754.67,1200.0
3,2022-04-15,495,2838.05,1200.0
4,2022-04-20,526,2782.29,1200.0
5,2022-04-21,561,2738.26,1300.0
6,2022-04-21,564,2760.23,1287.5
7,2022-04-23,565,2779.33,1262.5
8,2022-04-24,583,2732.63,1300.0
9,2022-04-25,607,2751.43,1300.0
10,2022-04-26,624,2795.09,1200.0
11,2022-04-27,670,2749.77,1300.0
12,2022-05-01,651,2706.66,1300.0
13,2022-05-04,602,2811.87,1200.0
14,2022-05-05,607,2801.38,1200.0
15,2022-05-07,635,2744.13,1300.0
16,2022-05-08,621,2684.21,1100.0
17,2022-05-09,653,2777.45,1200.0
18,2022-05-10,686,2791.41,1200.0
19,2022-05-11,683,2835.67,1150.0
20,2022-05-12,682,2870.15,1100.0
21,2022-05-13,698,2861.22,1100.0
22,2022-05-14,717,2860.66,1100.0
23,2022-05-15,726,2854.62,1200.0
24,2022-05-16,737,2826.49,1200.0
25,2022-05-17,758,2845.94,1100.0
26,2022-05-18,792,2852.68,1100.0
27,2022-05-19,810,2823.54,1100.0
28,2022-05-20,772,2851.54,1100.0
29,2022-05-21,830,2838.81,1100.0
30,2022-05-22,801,2812.14,1100.0
31,2022-05-23,819,2806.6,1100.0
32,2022-05-24,849,2769.65,1000.0
33,2022-05-25,862,2798.87,1100.0
34,2022-05-26,862,2789.69,1100.0
35,2022-05-27,838,2775.8,1100.0
36,2022-05-28,,,
37,2022-05-29,888,2846.31,1100.0
38,2022-05-30,934,2808.46,1200.0
39,2022-05-30,941,2811.01,1200.0
40,2022-05-31,953,2784.32,1250.0
